uid,name,type,manufacturer,bpr,pr,max_thrust,fuel_c3,fuel_c2,fuel_c1,cruise_thrust,cruise_sfc,curise_mach,curise_alt
4RR037,RB211-524H-T,MTF,Rolls Royce plc,4.2,34,264000,2.149651540448077,-2.5380846649551727,3.2041036031313075,,,,
1RR012,RB211-535C,TF,Rolls Royce plc,4.5,21.5,163300,1.2457559337189001,-1.7133601100371816,2.2734438991410246,,,,
5RR038,RB211-535E4,MTF,Rolls Royce plc,4.1,26,178400,1.0522343926069295,-1.27857388383819,2.081150231774337,,,,
5RR039,RB211-535E4B,MTF,Rolls Royce plc,4.1,27.9,191700,1.413274182583169,-1.5770977317345944,2.238671655686652,,,,
4RR035,Spey 555,MTF,Rolls Royce plc,1.0,15.9,44000,0.6990676681957849,-0.9693941664033079,1.008948448670755,,,,
8RR043,SPEY Mk511,MTF,Rolls Royce plc,0.64,19.9,50700,0.8164320939737383,-1.1890217361934803,1.2658873550260636,,,,
1RR018,SPEY Mk555,MTF,Rolls Royce plc,1.0,15.9,44000,0.7094160848120863,-0.9819058328797241,1.011053144793559,,,,
11RR048,TAY611-8C,MTF,Rolls Royce plc,3.26,15.88,61600,0.5227116745983097,-0.7342502939965989,0.9472165792019277,,,,
3RR031,TAY 650,MTF,Rolls Royce plc,3.0,15.9,67200,0.6053222430064439,-0.8390869309538014,1.0993795891423044,,,,
3RR033,TAY 651,MTF,Rolls Royce plc,3.0,16.4,68500,0.622494943148426,-0.8894406954338892,1.1422307088099377,,,,
1RR019,TAY Mk611-8,MTF,Rolls Royce plc,3.0,16.1,61600,0.5802487456715465,-0.8444006843516221,1.02916283615366,,,,
1RR020,TAY Mk620-15,MTF,Rolls Royce plc,3.0,16.1,61600,0.5802487456715465,-0.8444006843516221,1.02916283615366,,,,
1RR021,TAY Mk650-15,MTF,Rolls Royce plc,3.0,16.4,67200,0.6805288528068233,-0.9307399459992738,1.1295048130409377,,,,
8RR044,Trent 553-61,TF,Rolls Royce plc,7.5,35.19,251900,1.150611583257091,-1.4663756068917282,2.4337091635040986,,,,
8RR045,Trent 556-61,TF,Rolls Royce plc,7.5,36.63,263900,1.116785114204584,-1.3273394372297067,2.458214214966557,,,,
14RR070,Trent 768,MTF,Rolls Royce plc,5.15,34.48,304200,1.058197355843254,-1.0570269223765751,2.9129944290161682,,,,
14RR071,Trent 772,MTF,Rolls Royce plc,5.03,36.3302939575395,320300,1.3958141059193434,-1.3530780971866727,3.103310772078503,,,,
2RR024,Trent 875,TF,Rolls Royce plc,6.08,35.42,351850,0.9473698567865615,-1.1025735995295223,3.2619896533122703,,,,
2RR025,Trent 877,TF,Rolls Royce plc,6.02,36.3,361640,0.8673071269558591,-0.9323957267151315,3.2816137719099436,,,,
2RR026,Trent 884,TF,Rolls Royce plc,5.87,38.96,390100,1.5681267926572326,-1.6867283536203608,3.685744668345337,,,,
2RR027,Trent 892,TF,Rolls Royce plc,5.7,41.38,411480,2.0376878272117316,-1.9090079482233369,3.7865344194945223,,,,
5RR040,Trent 895,TF,Rolls Royce plc,5.7,41.52,413050,2.4121640667165445,-2.482258903129337,4.106538641204401,,,,
12RR061,Trent 1000-A2,TF,Rolls Royce plc,9.32,41.3,310900,0.950599002906853,-1.0967640501293467,2.4396460841992873,,,,
12RR062,Trent 1000-C2,TF,Rolls Royce plc,9.16,44.1,334700,0.9222636515672265,-0.9376424945590185,2.527273374920008,,,,
12RR063,Trent 1000-D2,TF,Rolls Royce plc,9.16,44.1,334700,0.9222636515672265,-0.9376424945590185,2.527273374920008,,,,
12RR064,Trent 1000-E2,TF,Rolls Royce plc,9.62,36.32,268000,0.9816853764676462,-1.2982804859595376,2.2372561749318676,,,,
12RR065,Trent 1000-G2,TF,Rolls Royce plc,9.23,42.81,323700,0.9325399018480198,-1.0038157299653818,2.4821084394801494,,,,
12RR066,Trent 1000-H2,TF,Rolls Royce plc,9.49,38.52,287100,0.9511911873374004,-1.1896669565539986,2.3225563007305445,,,,
12RR067,Trent 1000-J2,TF,Rolls Royce plc,9.04,46.08,350900,0.996478158106179,-0.9488629693604171,2.6243077029492747,,,,
12RR068,Trent 1000-K2,TF,Rolls Royce plc,9.04,46.08,350900,0.996478158106179,-0.9488629693604171,2.6243077029492747,,,,
12RR069,Trent 1000-L2,TF,Rolls Royce plc,9.16,44.1,334700,0.9222636515672265,-0.9376424945590185,2.527273374920008,,,,
19RR085,Trent 1000-AE3,TF,Rolls Royce plc,9.2,43,310900,0.9658726827260145,-1.1087667303320634,2.4307384664780036,,,,
19RR086,Trent 1000-CE3,TF,Rolls Royce plc,9.0,45.8,334700,0.978595099408531,-1.0254085170303013,2.552782708956623,,,,
19RR087,Trent 1000 -D3,TF,Rolls Royce plc,9.0,45.8,334700,0.978595099408531,-1.0254085170303013,2.552782708956623,,,,
19RR088,Trent 1000-G3,TF,Rolls Royce plc,9.1,44.5,323700,0.9742551949963405,-1.0701054109120764,2.4998109572696188,,,,
19RR089,Trent 1000-H3,TF,Rolls Royce plc,9.3,40.1,287100,0.9628834213324835,-1.1948039349309294,2.3086416670309533,,,,
19RR090,Trent 1000-J3,TF,Rolls Royce plc,8.9,47.8,350900,0.9686317395491665,-0.9489242613880389,2.63833832743597,,,,
19RR091,Trent 1000 -K3,TF,Rolls Royce plc,8.9,47.8,350900,0.9686317395491665,-0.9489242613880389,2.63833832743597,,,,
19RR092,Trent 1000 -L3,TF,Rolls Royce plc,9.0,45.8,334700,0.978595099408531,-1.0254085170303013,2.552782708956623,,,,
19RR093,Trent 1000-M3,TF,Rolls Royce plc,8.9,48.7,358100,1.0045204358574196,-0.9564736813483954,2.682113913912003,,,,
19RR094,Trent 1000 -N3,TF,Rolls Royce plc,8.9,48.7,358100,1.0045204358574196,-0.9564736813483954,2.682113913912003,,,,
19RR095,Trent 1000 -P3,TF,Rolls Royce plc,9.0,45.8,334700,0.978595099408531,-1.0254085170303013,2.552782708956623,,,,
19RR096,Trent 1000-Q3,TF,Rolls Royce plc,8.9,47.8,350900,0.9686317395491665,-0.9489242613880389,2.63833832743597,,,,
19RR097,Trent 1000-R3,TF,Rolls Royce plc,8.9,49.4,363900,1.0573234832077372,-0.9876132940254623,2.722368748670147,,,,
19RR098,Trent7000-72,TF,Rolls Royce plc,9.0,45.4,327900,0.9979685432986485,-1.075642698077528,2.56362451946019,,,,
19RR099,Trent7000-72C,TF,Rolls Royce plc,9.0,45.4,327900,0.9979685432986485,-1.075642698077528,2.56362451946019,,,,
18RR076,Trent XWB-75,(TF),Rolls Royce plc,9.3,36.8,334000,1.4913834062956448,-2.037464340006284,2.9656771410181455,,,,
18RR077,Trent XWB-79B,(TF),Rolls Royce plc,9.15,38.8,355200,1.532045191681175,-2.0116810257490627,3.089375658893087,,,,
18RR078,Trent XWB-79,(TF),Rolls Royce plc,9.15,38.8,355200,1.532045191681175,-2.0116810257490627,3.089375658893087,,,,
18RR079,Trent XWB-84,(TF),Rolls Royce plc,9.01,41.1,379000,1.4983591465624877,-1.879338777759938,3.2089577387037935,,,,
18RR080,Trent XWB-97,(TF),Rolls Royce plc,8.04,48.57,436700,1.9269660400240172,-1.9763208991452013,3.566445727908602,,,,
18RR081,Trent 970-84,(TF),Rolls Royce plc,8.45,38,338700,0.8416011037696132,-0.9354131055728401,2.7071593308593775,,,,
18RR082,Trent 970B-84,(TF),Rolls Royce plc,8.38,39.35,352900,0.860514041890948,-0.9077318754611452,2.793542564015582,,,,
18RR083,Trent 972-84,(TF),Rolls Royce plc,8.41,38.68,345900,0.8519162075442014,-0.9240901783008992,2.752493503268152,,,,
18RR084,Trent 972E-84,(TF),Rolls Royce plc,8.41,38.68,345900,0.8519162075442014,-0.9240901783008992,2.752493503268152,,,,
1TL001,ALF 502L-2,TF,Textron Lycoming,5.1,13.15,33400,0.3198787762592213,-0.4294106792271935,0.5110964530314719,,,,
1TL002,ALF 502R-3,TF,Textron Lycoming,5.7,11.4,29800,0.20727728927014247,-0.28950631218336165,0.43154401602323145,,,,
1TL003,ALF 502R-5,TF,Textron Lycoming,5.6,12,31000,0.19132489804792316,-0.2534774645306206,0.42174212102554326,,,,
1TL004,"LF507-1F, -1H",TF,Textron Lycoming,5.1,13,31000,0.2383381823771752,-0.3422071913270469,0.4633980901402956,,,,
13ZM002,D-36 ser. 4A,TF,IVCHENKO PROGRESS ZMBK,5.0,19.9,63770,0.5015104174076963,-0.808108510529147,0.9441498818234031,,,,
13ZM003,D-436-148 F1,TF,IVCHENKO PROGRESS ZMBK,4.9,19.8,64430,0.6338294261851247,-1.1276137739343994,1.0447949496990196,,,,
13ZM004,D-436-148 F2,TF,IVCHENKO PROGRESS ZMBK,4.9,20.73,68720,0.6797192515487634,-1.1800792216407778,1.0847822629421893,,,,
