icao,lat,lon,alt,country,name,location
SDCG,-3.47405,-68.96119,335,BR,Senadora Eunice Michiles,Sao Paulo de Olivenca
SDCJ,-17.6854,-53.59449,2221,BR,Fazenda Sao Domingos,Alto Araguaia
SDCL,-23.15226,-49.20869,2181,BR,Fazenda Campo Alegre,Cerqueira Cesar
SDCM,-12.86553,-46.16807,2957,BR,Sete Povos,Taguatinga
SDCO,-23.47177,-47.49234,2077,BR,Sorocaba,Sorocaba
SDCR,-24.0694,-46.82978,39,BR,Fazenda Caicara,Itanhaem
SDCT,-22.22857,-46.97688,2237,BR,Fazenda Santo Antonio Do Oricanga,Mogi-Gaucu
SDCU,-22.55442,-42.1206,18,BR,Brig. Francisco Pinto De Moura,Casimiro de Abreu
SDCW,-20.32373,-48.83245,1706,BR,Fazenda Paloma,Frutal
SDCZ,-22.93629,-44.10442,16,BR,Fazenda Bom Jardim,Mangaratiba
SDDB,-22.60961,-50.09929,1702,BR,Maggi Agropecuaria,Palmital
SDDC,-15.96819,-59.89177,722,BR,Fazenda Sao Joao Do Guapore,Pontes e Lacerda
SDDE,-8.01421,-61.77582,213,BR,Fazenda Dois Irmaos,Humaita
SDDI,-21.59363,-50.83706,2093,BR,Fazenda Tamara,Osvaldo Cruz
SDDJ,-20.84508,-50.08093,1525,BR,Fazenda Santa Maria,Buritama
SDDK,-22.4843,-49.98982,1886,BR,Saint-Exupery,Marilia
SDDL,-23.3082,-47.93823,1916,BR,Fazenda Dois Lagos,Tatui
SDDN,-20.92473,-51.38924,1247,BR,Andradina,Andradina
SDDR,-21.46197,-51.61395,1220,BR,Dracena,Tupi Paulista
SDDS,-8.33595,-65.71217,325,BR,Fazenda Scheffer,Pauini
SDDV,-21.13177,-48.8492,1860,BR,Usina Catanduva,Pindorama
SDDX,-19.88706,-50.51056,1482,BR,Fazenda Paiquere,Iturama
SDEC,-16.95362,-53.57395,2572,BR,Rancho Enagri,Alto Araguaia
SDED,-22.43956,-47.70414,2007,BR,Edra Do Brasil,Charqueada
SDEE,-23.57303,-48.86691,1801,BR,Rancho Villela,Paranapanema
SDEG,-22.46546,-51.20559,1450,BR,Fazenda Nova California,Regente Feijo
