ts,ff_l,ff_r,n1_l,n1_r,n2_l,n2_r,roll,acc,alt,roc,tas,sat,spress,cas,mach,alt_gnss,lat,lon,gs,hdg,trk,wspd,wagl,mass,fuelburn
1144,0.08635932191719392,0.09406792614804506,83.94569156671898,84.14200673291646,86.45850099203872,86.75283092261883,-0.42656531700721156,-0.008448769319974457,8999.0,26.0,276.92578125,-2.5,21.789999999999996,242.4609375,0.43189062500000003,8767.0,51.811407851055264,5.3481298964470625,312.25,90.8448486328125,90.90087890625,35.0,-86.8359375,5812.446011852758,166.50094814724272
1145,0.08635310753830058,0.09413393598545079,83.95460628307416,84.17489040141182,86.46377647298809,86.76876997634416,-0.5679086538461539,0.0006215715848482569,8999.0,-3.0,276.58984375,-2.5,21.789999999999996,242.171875,0.43135156250000006,8767.0,51.81138480082154,5.3504591435194016,312.25,90.7503662109375,90.87890625,35.0,-87.1875,5812.265524809234,166.68143519076648
1146,0.08643673459186678,0.09413077021033596,83.97073340431268,84.15480434296097,86.46969840725696,86.75740702639048,-0.5331538273737981,0.00046042339618389445,8998.625,-26.0,276.9375,-2.5,21.789874999999995,242.5,0.4319609375,8767.0,51.81136225350201,5.352787803858519,312.25,90.69708251953125,90.87890625,35.0,-87.1875,5812.084957304432,166.8620026955687
1147,0.08633036263197483,0.09422647587428,83.9489384043891,84.14921538853429,86.45622288529027,86.75296611867653,-0.5736130934495193,-0.010727865131084736,8998.375,-22.0,277.20703125,-2.5,21.789874999999995,242.71875,0.43233593749999993,8766.0,51.81133987382054,5.355116296559572,312.25,90.79705810546875,90.85693359375,35.0,-87.1875,5811.904400465925,167.04255953407494
1148,0.08632430440710512,0.09427455346297686,83.94959225049139,84.18085848656149,86.46054325846573,86.76997207777687,-0.586395263671875,0.0014273125281700717,8998.3125,-25.0,276.875,-2.5,21.789999999999996,242.4453125,0.4318359375,8767.0,51.81131774559617,5.357444537803531,312.25,90.76080322265625,90.8349609375,35.0,-87.1875,5811.7238016080555,167.22315839194502
1149,0.08631413890018483,0.09427002929645294,83.92774504470528,84.18310193813042,86.44602349478404,86.76998445443392,-0.5629436786358173,-0.0014733548677884612,8998.1875,-8.0,277.05859375,-2.5,21.789999999999996,242.6171875,0.43212500000000004,8767.0,51.811296455562115,5.359771186485887,312.125,90.69598388671875,90.8349609375,35.0,-87.1875,5811.543217439858,167.40374256014167
1150,0.08639606527145884,0.09434058480747338,83.93606999217882,84.18380256060432,86.45581474347354,86.76587629139357,-0.5343158428485577,-0.0010129314716045674,8998.875,31.0,277.4296875,-2.5,21.789499999999997,242.953125,0.4327421875,8767.0,51.811274997889996,5.362099343910813,312.125,90.6690673828125,90.81298828125,35.0,-87.1875,5811.3624807897795,167.5844792102206
1151,0.08649707500689456,0.09426851516930185,83.9749630446535,84.2090689889474,86.47247710132397,86.78170374047134,-0.5802682729867789,-0.005732271282489483,8999.0,1.0,276.96875,-2.5,21.789624999999994,242.4921875,0.43195312500000005,8767.0,51.81125421077013,5.364426914602518,312.125,90.810791015625,90.791015625,35.0,-87.1875,5811.181715199604,167.7652448003968
1152,0.08640511607259917,0.09415014787027859,83.95438118568445,84.18433171612605,86.46247126570057,86.7684396043573,-0.48403226412259615,-0.0022100323016826925,8999.3125,-1.0,276.92578125,-2.5,21.789624999999997,242.4921875,0.431921875,8768.0,51.81123359128833,5.366754066199064,312.125,90.656982421875,90.791015625,35.0,-87.1875,5811.00115993566,167.94580006433966
1153,0.08643100521225772,0.09424254598009472,83.94126696517205,84.1974394092273,86.4559821326889,86.77864891727347,-0.4173768241450472,-0.0026474345280573914,8999.625,9.0,277.33984375,-2.5,21.789249999999996,242.8515625,0.43256249999999996,8768.0,51.81121313944459,5.369081301614642,312.0,90.72015380859375,90.791015625,35.0,-87.1875,5810.8204863844685,168.126473615532
