uid,name,manufacturer,type,bpr,pr,max_thrust,ei_hc_to,ei_hc_co,ei_hc_app,ei_hc_idl,ei_co_to,ei_co_co,ei_co_app,ei_co_idl,ei_nox_to,ei_nox_co,ei_nox_app,ei_nox_idl,ff_to,ff_co,ff_app,ff_idl,fuel_lto,fuel_c3,fuel_c2,fuel_c1,cruise_thrust,cruise_sfc,cruise_mach,cruise_alt
1GE034,CF34-3A,GE Aircraft Engines,TF,6.25,19.7,41010,0.06,0.06,0.13,3.95,0,0,1.9,42.6,11.61,10.14,6.86,3.82,0.407,0.3343,0.119,0.0496,167,0.266719,-0.362635,0.504823,,,,
1GE035,CF34-3A1,GE Aircraft Engines,TF,6.25,19.7,41010,0.06,0.06,0.13,3.95,0,0,1.9,42.6,11.61,10.14,6.86,3.82,0.407,0.3343,0.119,0.0496,167,0.266719,-0.362635,0.504823,,,,
5GE084,CF34-3B,GE Aircraft Engines,TF,6.25,19.3,41010,0.06,0.05,0.13,4.69,0,0,1.88,47.59,11.28,9.68,6.63,3.72,0.3991,0.3288,0.116,0.0489,164,0.246421,-0.333845,0.488468,,,,
6GE096,CF34-8C1,GE Aircraft Engines,TF,5.13,22.15,56360,0.02,0.03,0.07,0.13,0.59,0.57,4.67,19.73,13.82,12,9.85,4.03,0.608,0.479,0.1702,0.0703,239,0.593018,-0.751233,0.768605,,,,
8GE110,CF34-8C5,GE Aircraft Engines,TF,5.13,23.09,59420,0.02,0.02,0.06,0.13,0.64,0.57,4.24,18.25,14.69,12.6,10.75,4.6,0.648,0.53,0.179,0.064,240,0.29698,-0.344912,0.697933,,,,
8GE107,CF34-8C5A1,GE Aircraft Engines,TF,5.13,23.49,60620,0.02,0.02,0.06,0.13,0.66,0.57,4.17,17.85,15.09,12.82,10.87,4.65,0.665,0.543,0.183,0.065,245,0.308031,-0.354016,0.712985,,,,
8GE104,CF34-8C5A2,GE Aircraft Engines,TF,5.13,24.12,62490,0.02,0.02,0.06,0.13,0.71,0.57,4.05,17.3,15.81,13.15,11.06,4.7,0.691,0.563,0.188,0.066,251,0.313497,-0.347731,0.72723,,,,
8GE103,CF34-8C5A3,GE Aircraft Engines,TF,5.13,24.82,64530,0.02,0.02,0.06,0.12,0.77,0.57,3.92,16.71,16.71,13.52,11.09,4.76,0.721,0.586,0.193,0.067,259,0.315311,-0.331233,0.73893,,,,
8GE112,CF34-8C5B1,GE Aircraft Engines,TF,5.13,22.08,56350,0.02,0.03,0.07,0.16,0.6,0.58,4.44,19.52,13.89,12.03,10.42,4.5,0.606,0.497,0.171,0.063,230,0.301455,-0.373392,0.679986,,,,
8GE113,CF34-8E2,GE Aircraft Engines,TF,5.13,21.71,55190,0.02,0.03,0.07,0.16,0.59,0.58,4.52,20.01,13.6,11.82,10.29,4.45,0.591,0.485,0.168,0.062,226,0.300882,-0.379101,0.671225,,,,
